Country|Date_range|Event_url|Event_name|Event_venue_name|Venue_address|Format|Dates|Location|Entry_fees|Estimated_turnout|Categories|Frequency|Organizer|Editions|Timings|Description
SIDO Paris||https://10times.com/e1z4-r5x2-d5gz|SIDO Paris|Palais des Congrès|Palais des Congrès2 Place de la Porte Maillot, 75017 ParisFrance|Conference|09 - 10 Nov 2021| Palais des Congrès, Paris, France| Check Official Website| up to 100 Delegates | IT & Technology|Newly Listed|Infopro Digital |['Nov 2021', '']| 09:00 AM-06:00 PM |SIDO Paris aims to bring to Paris a Tech & Uses event dedicated to the convergence of IoT, IA, XR & Robotics Technologies for strategic and operational business decision-makers. All the technological solutions to initiate your digital transformation are at SIDO.
Salon Du Chocolat Et Gourmandises - Metz||https://10times.com/salon-du-chocolat-metz|Salon Du Chocolat Et Gourmandises - Metz|Centre Foires et Congrès de Metz Métropole|Centre Foires et Congrès de Metz MétropoleMetz Congrès,, Rue de la Grange aux Bois, 57070 Metz, FranceFrance|Trade Show|06 - 07 Nov 2021 | Centre Foires et Congrès de Metz Métropole,                         Metz, France| Check Official Website| 1000 - 5000 Visitors 100 - 500 Exhibitors | Food & Beverages|Biennial|Metz Expo|['Nov 2021', '+5 more editions']| 09:00 AM-06:00 PM |Salon Du Chocolat Et Gourmandises Metz provides the attendees with an opportunity to discover gluttony in all its forms such as chocolate to chew or melt, black, white or milk, macaroons, fluted, marshmallows, nougats, champagnes and other sweets.
Sweet & Confectionery Summit||https://10times.com/sweet-confectionery-summit|Sweet & Confectionery Summit|Virtual|Virtual|Conference|03 - 04 Nov 2021| Paris,  France| Check Official Website| 220 Delegates 140 Exhibitors | Food & Beverages|Annual|Wabel|['Nov 2021', '', '+2 more editions']| 08:00 AM - 06:00 PM |The Wabel Sweet & Confectionery Summit will consist of two days to meet potential business partners during pre-matched and pre-scheduled B2B Smart Meetings™ to bring together curated buyers and vetted suppliers from the Sweet & Confectionery industry. The Wabel  Sweet & Confectionery Summit will consist of two days to meet potential business partners during pre-matched and pre-scheduled B2B Smart Meetings™ to bring together curated buyers and vetted suppliers from the Sweet & Confectionery..continue readingindustry. These real one-on-one conversations will last 20 minutes (10 min presentation + 10 min Q&A) and be held in a private meeting. We come to the summit every year which helps us buy a lot of time compared to the exhibitions we used to attend. In a short period of time, we are able to meet a lot of suppliers. We are very happy to be here, the quality, the people, the staff, everything is excellent at Wabel.
Wedding Fair Avignon||https://10times.com/wedding-fair-avignon|Wedding Fair Avignon|Parc des Expositions|Parc des ExpositionsChemin des Felons, 84140 AvignonFrance|Trade Show|06 - 07 Nov 2021| Parc des Expositions, Avignon,  France| Check Official Website| 1000 - 5000 Visitors 100 - 500 Exhibitors | Apparel & ClothingFashion & Beauty|Annual|Id Organisation|['Nov 2021', '', '+8 more editions']| 10:00 AM - 07:00 PM |Wedding Fair Avignon features wedding products and services and accessories, photography, videography, wedding cakes, bridal wear, health care and make up products etc.
The European Society for the Study of English Conference||https://10times.com/e1z4-z2hd-1r8h|The European Society for the Study of English Conference|University of Lorraine|University of Lorraine34 Cours Leopold, 54000 NancyFrance|Conference|03 - 05 Nov 2021 | University of Lorraine, Nancy,  France| Check Official Website| 100 - 500 Delegates | Education & Training|Not Available|The European Society for the Study of English|['Nov 2021']| 09:00 AM-06:00 PM |
JFN||https://10times.com/e1z5-1z3p-0zps|JFN|Lille Grand Palais|Lille Grand Palais1 Boulevard of United Cities, 59 LilleFrance|Conference|10 - 12 Nov 2021| Lille Grand Palais,                         Lille, France| Check Official Website| up to 100 Delegates | Food & Beverages|Newly Listed|SFNCM |['Nov 2021', '']| 09:00 AM-06:00 PM |
Salon Real Estate and New Home of the Sarthe||https://10times.com/real-estate-home|Salon Real Estate and New Home of the Sarthe|Centre des Expositions du Mans|Centre des Expositions du Mans1 Avenue du Parc des Expositions, 72100 Le MansFrance|Trade Show|05 - 07 Nov 2021| Centre des Expositions du Mans, Le Mans,  France| Check Official Website| 1000 - 5000 Visitors 100 - 500 Exhibitors | Building & Construction|Annual|LEO - Loire Evenement Organisation|['Nov 2021', '', '+6 more editions']| 09:00 AM-06:00 PM |"""The unique opportunity to learn and take all necessary real estate advice to buy, sell, or to build.""Salon Real Estate and New Home of the Sarthe is going to be held in Congress of Le Mans for three days. This event will focus on display of products and services related with the real estate. The exhibitors of this event will be provided with an opportunity to showcase their products and services. Visitors gathering in this event will get a chance to meet lawyers, asset managers, administrators well and financial counselors. This event will bring together funding agencies, builders, developers and craftsmen under one roof providing them with a chance communicate with one another. Salon Real Estate and New Home of the Sarthe will also offer profitable business opportunity to the participants to build new contacts and networks."
Amenago||https://10times.com/amenago|Amenago|Lille Grand Palais|Lille Grand Palais1 Boulevard of United Cities, 59 LilleFrance|Trade Show|06 - 14 Nov 2021| Lille Grand Palais, Lille, France| Check Official Website| 5000 - 20,000 Visitors 100 - 500 Exhibitors | Business Services|Annual|GL EVENTS|['Nov 2021', '', '+12 more editions']| 09:00 AM-06:00 PM |"""Home Furnishings and Decoration trade show""Amenago is the largest space entirely dedicated to decoration. The time of a weekend: shops, designers, designers, craftsmen will offer you to find the object you are missing. As the holidays approach Christmas is the opportunity to find his deco table or gift decoration for your friends or family."
International Meet on Vaccines||https://10times.com/e1z3-s1z5-d8fk|International Meet on Vaccines|Park Inn By Radisson Nice Airport|Park Inn By Radisson Nice Airport24 Rue Costes et Bellonte, 06200 Nice, FranceFrance|Conference|04 - 05 Nov 2021 | Park Inn By Radisson Nice Airport, Nice, France| Check Official Website| 100 - 500 Delegates | Medical & Pharma|Not Available|ALBEDO MEETINGS Top Rated|['Nov 2021']| 09:00 AM-06:00 PM |
Aerospace TechWeek||https://10times.com/aerospace-techweek|Aerospace TechWeek|Congress Centre and Diagora Exhibition|Congress Centre and Diagora Exhibition150 Rue Pierre Gilles de Gennes 31670 LabegeLabège,France|Trade Show|03 - 04 Nov 2021 | Congress Centre and Diagora Exhibition, Labège,  France| Check Official Website| 1000 - 5000 Visitors 100 - 500 Exhibitors | Electric & ElectronicsLogistics & Transportation|Annual|Aerospace & Security Media LLC|['Nov 2021', '+1 more edition']| 9:00 AM - 5:00 PM |Bringing together the best aspects for aerospace technology, Avionics, Connected Aircraft, Aerospace Testing, Flight Ops IT, MRO IT and Future Airborne Capability Environment (FACE), offer great connectivity between these exciting, fast moving aerospace industry sectors. Discover the latest technologies and solutions, understand more on NextGen and SESAR programs and ensure you are up-to-date with the latest issues facing the aerospace sector.
100percent DECO Show||https://10times.com/h-deco|100percent DECO Show|Lille Grand Palais|Lille Grand Palais1 Boulevard of United Cities, 59 LilleFrance|Trade Show|06 - 07 Nov 2021| Lille Grand Palais, Lille, France| Check Official Website| 1000 - 5000 Visitors 100 - 500 Exhibitors | Building & ConstructionHome & Office|Annual|GL EVENTS|['Nov 2021', '', '+4 more editions']| 09:00 AM-06:00 PM |48H will focus on design and architecture, home decor products, furniture and furnishing, and much more.
Congress of the European Society of Pediatric Otorhinolaryngology||https://10times.com/congress-of-the-european-society-of-pediatric-otor|Congress of the European Society of Pediatric Otorhinolaryngology|Palais du Pharo|Palais du Pharo58 Boulevard Charles Livon, 13007 MarseilleFrance|Conference|06 - 09 Nov 2021 | Palais du Pharo, Marseille, France| Check Official Website| 1500 Delegates 30 Exhibitors | Medical & PharmaScience & Research|Biennial|Abbey |['Nov 2021', '15th Edition']| 10:00 AM - 5:00 PM |"""Transfers, Bridges and Frontiers in Pediatric Otorhinolaryngology""The 15th Congress of the European Society of Pediatric Otorhinolaryngology brings together pediatricians, otorhinolaryngologists, researchers, and students and provides them with the opportunity to gain insights relating to the topics of Pediatric Otorhinolaryngology."
Salon de L Habitat Lamballe||https://10times.com/l-habitat|Salon de L Habitat Lamballe|Haras National de Lamballe|Haras National de LamballePlace du Champ de Foire, 22400 LamballeFrance|Trade Show|06 - 07 Nov 2021 | Haras National de Lamballe, Lamballe,  France| Free Ticket For Industry ProfessionalsCheck Official Website| 1000 - 5000 Visitors 100 - 500 Exhibitors | Building & ConstructionHome & Office|Annual|Cabinet 3X sarl|['Nov 2021', '+4 more editions']| 09:00 AM-06:00 PM |Salon de L Habitat is an event that illustrates products like construction, renovation, extensions, insulation & treatment, decoration, Interior design, joinery, heating, fireplaces & stoves, wallpaper, lighting, window blinds, insect screen,  ceramics, furniture, roofing, glass, laminate flooring, panel, remote monitoring control systems etc.
International Power Summit||https://10times.com/e12z-ss0f-pz01|International Power Summit|google-map|Venue to be announcedNice,FranceAdd Venue|Conference|10 - 11 Nov 2021| Nice,  France| Check Official Website| up to 100 Delegates | Power & Energy|Newly Listed|Arena International Events Group|['Nov 2021', '']| 09:00 AM-06:00 PM |
Fabric Spectacle||https://10times.com/fabric-pektakel-mulhouse|Fabric Spectacle|Parc Expo de Mulhouse|Parc Expo de Mulhouse120 Rue Lefebvre, 68100 MulhouseFrance|Trade Show|07 Nov 2021| Parc Expo de Mulhouse, Mulhouse,  France| Check Official Website| 5000 - 20,000 Visitors 100 - 500 Exhibitors | Apparel & Clothing|Biennial|Stoffen Spektakel|['Nov 2021', '', '+13 more editions']| 09:00 AM-06:00 PM |
Salon Studyrama Grandes Ecoles De Toulouse||https://10times.com/studyrama-toulouse|Salon Studyrama Grandes Ecoles De Toulouse|Congress Center Pierre Baudis|Congress Center Pierre Baudis31680 11 Espl. Compans Caffarelli 31000 ToulouseFrance|Trade Show|06 Nov 2021| Congress Center Pierre Baudis, Toulouse, France| Check Official Website| 1000 - 5000 Visitors 100 - 500 Exhibitors | Education & Training|Annual|Studyrama|['Nov 2021', '', '+7 more editions']| 09:30 AM - 05:30 PM General Hours|Salon Studyrama Grandes Ecoles De Toulouse is a place of exchange, where you can meet the directors of institutions or program and study leaders. They will be your direct interlocutors and will inform you about the course of the training the cost of studies, internships, outlets, insertion of the graduates expose your case, exchange on your doubts and your possible projects. You will also meet students currently in training, take the opportunity to ask them questions about student life, campus, atmosphere.
International Conference on Neurovascular and Neurodegenerative Diseases||https://10times.com/nvnd|International Conference on Neurovascular and Neurodegenerative Diseases|Virtual|Virtual|Conference|08 - 09 Nov 2021| Paris,  France| Paid Ticket Check Official Website| 120 Delegates | Medical & PharmaScience & Research|Annual|United Scientific Group|['Nov 2021', '', '+2 more editions']| 07:00 AM - 06:00 PM |"""Meet and discuss your work with esteemed researchers""International Conference on Neurovascular and Neurodegenerative Diseases conference aim is is to bring together global experts working on various aspects of neurovascular as well as neurodegenerative diseases. Neurovascular and Neurodegenerative diseases take a significant toll on the world economy and health. According to the Brain Aneurysm Foundation, cerebral aneurysms affect a predictable 6 million Americans and are accountable for around half a million deaths globally each year. As per the stats shared in the report, AƒA¢A‚a‚¬A‚A""Neurological disorders: Public health challenges,AƒA¢A‚a‚¬A‚A there are about 50 million people who suffer from epilepsy and 24 million from Dementia globally. Neurovascular and Neurodegenerative diseases affect people worldwide, irrespective of sex, age, education, or income."
Esprit Maison Esprit Jardin||https://10times.com/maison-esprit-jardin|Esprit Maison Esprit Jardin|Parc Expo Rennes|Parc Expo RennesLa Haie Gautrais, 35170 BruzRennes,France|Trade Show|05 - 08 Nov 2021| Parc Expo Rennes, Rennes, France| Paid Ticket Check Official Website| 1000 - 5000 Visitors 100 - 500 Exhibitors | Entertainment & Media|Monthly|Parc Expo Rennes Aeroport|['Nov 2021', '', '+9 more editions']| 10:00 AM - 07:00 PM |"""The habitat & decoration exhibition in France"""
Salon des Vins de France Thonon Les Bains||https://10times.com/salon-vindefrance-thononlesbains|Salon des Vins de France Thonon Les Bains|Espace Tully|Espace Tully8 Avenue des Abattoirs, 74200 Thonon-les-BainsFrance|Trade Show|05 - 07 Nov 2021| Espace Tully, Thonon-les-Bains,  France| Check Official Website| 1000 - 5000 Visitors 100 - 500 Exhibitors | Food & Beverages|Annual|Centre France Evenements|['Nov 2021', '', '+9 more editions']| 09:00 AM-06:00 PM |"""International trade exhibition for wine lovers.""Salon des Vins de France Thonon Les Bains aims to make this event a privileged meeting between quality producers and demanding consumers. It is the successful alliance of wines and dishes brought together over the editions that attract Thonon-les-Bains an audience of gourmets constantly expanded."
Salon Alpin||https://10times.com/salon-alpin|Salon Alpin|Halle Olympique Albertville|Halle Olympique Albertville15 Avenue de Winnenden, 73200Albertville,France|Trade Show|08 - 11 Nov 2021| Halle Olympique Albertville, Albertville,  France| Check Official Website| 1000 - 5000 Visitors 100 - 500 Exhibitors | Food & BeveragesHospitality|Annual|SavoiExpo|['Nov 2021', '', '+3 more editions']| 09:00 AM-06:00 PM |Salon Alpin will display of cleaning products and hygiene, industrial cleaning, bakery, pastry, confectionery, product maintenance and hygiene, ice cream, frozen food and etc.
International Conference on Food Chemistry and Technology||https://10times.com/food-science-conference-paris|International Conference on Food Chemistry and Technology|Virtual|Virtual|Conference|08 - 10 Nov 2021| Paris,  France| Paid Ticket Starts from 299 USD (View Details)| 120 Delegates 5 Exhibitors | Food & Beverages|Annual|United Scientific Group|['Nov 2021', '', '+1 more edition']| 9:00 AM - 5:00 PM (Public) |"""Food Science advances discuss here""FCT provides a unique opportunity to network with your peers and consists of highly proficient series of talks, poster presentations, workshops, discussions and networking events will keep our fellow participants engaged in learning and making new connections. This 3-day conference features the world-class renowned food scientists and will bring together experts, young researchers, education scientists, technologists and food industry representatives to debate on the latest scientific developments in the field of food chemistry and technology that helps to improve the current and future challenges in food research."
Numerical Methods and Scientific Computing||https://10times.com/e1z5-0p1k-2zds|Numerical Methods and Scientific Computing|international Center of Mathematical Meetings|international Center of Mathematical Meetings163 Avenue de Luminy 13009 MarseilleFrance|Conference|08 - 12 Nov 2021| international Center of Mathematical Meetings, Marseille, France| Check Official Website| 100 - 500 Delegates | Education & Training|Newly Listed|CIRM |['Nov 2021', '']| 09:00 AM-06:00 PM |
Innopack||https://10times.com/innopack|Innopack|Virtual|Virtual|Trade Show|25 Oct - 19 Nov 2021| Paris,  France| Check Official Website| 1000 - 5000 Visitors 100 - 500 Exhibitors | Packing & Packaging|Newly Listed|Informa Markets - London, UK|['Oct 2021', '', '+1 more edition']| 09:00 AM-06:00 PM |
Salon Gourmand||https://10times.com/normand-produits-terroir|Salon Gourmand|Parc Exposition de Rouen|Parc Exposition de Rouen46-48 Avenue des Canadiens, 76120 Le Grand-QuevillyRouen,France|Trade Show|05 - 07 Nov 2021 | Parc Exposition de Rouen, Rouen,  France| Check Official Website| 1000 - 5000 Visitors 100 - 500 Exhibitors | Food & Beverages|Annual|Rouen Normandie Tourism & Conventions|['Nov 2021', '+9 more editions']| 10:00 AM - 10:00 PM 10:00 AM - 08:00 PM 10:00 AM - 07:00 PM View More|"""A unique opportunity to discover and taste wines and local products in one place.""This event showcases various foods products, provides the attendees with the opportunity to taste beer, wine, and various other food products."
ARTS ATLANTIC||https://10times.com/arts-atlantic|ARTS ATLANTIC|Espace Encan|Espace EncanQuai Louis Prunier, 17000 La RochelleFrance|Trade Show|05 - 07 Nov 2021| Espace Encan, La Rochelle,  France| Check Official Website| 1000 - 5000 Visitors 100 - 500 Exhibitors | Business Services|Biennial|La Rochelle Tourisme & Evenements |['Nov 2021', '', '+3 more editions']| 09:00 AM-06:00 PM |ARTS ATLANTIC is a 3 day event being held from 8th November to the 10th November 2019 in La Rochelle, france. This event showcases product from Media & Advertising, Business Services industries.
EMDay||https://10times.com/emday-c-ly|EMDay|Châteauform' Campus de Cely|Châteauform' Campus de Cely2A Route de Saint-Germain, 77930 Cély, FranceFrance|Conference|08 - 09 Nov 2021| Châteauform' Campus de Cely, Cély,  France| Check Official Website| 100 - 500 Delegates | IT & Technology|Annual|EMDAY Association |['Nov 2021', '', '+1 more edition']| 09:00 AM-06:00 PM |EMDay, the biggest French event on email marketing,The place to be to answer all your questions.
Symposium on the Modeling of Reactive Systems||https://10times.com/e14z-hshs-g257|Symposium on the Modeling of Reactive Systems|National Conservatory of Arts and Crafts|National Conservatory of Arts and Crafts292 Rue Saint-Martin 75003 ParisFrance|Conference|08 - 10 Nov 2021| National Conservatory of Arts and Crafts, Paris, France| Check Official Website| up to 100 Delegates | IT & Technology|Newly Listed|CNAM IIM -|['Nov 2021', '']| 09:00 AM-06:00 PM |MSR is a biennial colloquium in French which deals with the modeling, analysis and control of reactive and real-time systems. It relates more particularly to researchers and manufacturers interested in the design of applications which are based on systems of either continuous, discrete or hybrid type. MSR is a meeting place for automation engineers and computer scientists in order to confront the techniques and problems tackled by the two communities. Thus, the role of the MSR conference is to affirm the contribution of French-speaking researchers in these fields and to promote exchanges between academics and industry.
International Symposium Reproductive Biology Fruit Tree Species||https://10times.com/e1s4-r1r2-d0gk|International Symposium Reproductive Biology Fruit Tree Species|Agropolis International|Agropolis International1000 Avenue Agropolis 34000 MontpellierFrance|Conference|08 - 12 Nov 2021| Agropolis International, Montpellier, France| Check Official Website| 100 - 500 Delegates | Agriculture & Forestry|Newly Listed|INRAE |['Nov 2021', '']| 09:00 AM-06:00 PM |This Symposium will gather scientists experts in Reproductive Biology studies on fruit species, cultivated either in temperate or tropical and sub-tropical conditions. Reproductive biology is a thematic that covers key steps of the elaboration for fruit tree production, from floral induction, flower development, flowering phenology, pollination success and compatibility between cultivars to fruit set and dependencies between consecutive years of production leading to irregular bearing. We expect from this international meeting, high quality scientific exchanges and discussions on the latest results on physiological, molecular and genetic controls, environmental effects on the different phases of yield elaboration. Advances on agronomic and orchard management aiming to maintain regular cropping, pollination success and fruit set are also expected.
International Congress of Neuroimmunology||https://10times.com/isni|International Congress of Neuroimmunology|Virtual|Virtual|Conference|08 - 12 Nov 2021| Nice,  France| Check Official Website| 100 - 500 Delegates | Medical & PharmaScience & Research|Biennial|University Paul Sabatier|['Nov 2021', '', '+1 more edition']| 12:00 AM - 12:00 AM |An excellent postdoctoral research opportunity is immediately available with the laboratory of Woong-Ki Kim at Eastern Virginia Medical School to explore macrophage biology and to develop macrophage-targeted . Congratulations to Prof. Francisco Quintana - ISNI president-elect - who has been awarded the prestigious Barancik Prize for his work toward understanding what triggers multiple sclerosis and . Congratulations to Prof. Michal Schwartz - ISNI president 2016 - 2018 - who has been awarded the prestigious EMET prize in the field of Life Sciences on .
Le Salon Ob Art||https://10times.com/ob-art-salon|Le Salon Ob Art|Corum conference cente|Corum conference centeBoulevard Charles Warnery 34000Montpellier,France|Trade Show|05 - 07 Nov 2021 | Corum conference cente, Montpellier, France| Paid Ticket Check Official Website| 5000 - 20,000 Visitors 100 - 500 Exhibitors | Arts & Crafts|Annual|AAF - Ateliers dArt de France|['Nov 2021', '+7 more editions']| 09:00 AM-06:00 PM |Le Salon Ob Art will feature arts and crafts, jewelry, textiles, ceramics, art, and crafts. the table, cutlery, glassware, cabinet making, sculpture, leather goods, lighting, fashion and accessories, mosaics, headgear, engraving, restoration and heritage and etc.
International Conference Indigenous Environmental Practices as Responses to Pollution||https://10times.com/conference-indigenous-environmental-practices|International Conference Indigenous Environmental Practices as Responses to Pollution|University of Western Brittany|University of Western Brittany3 Rue des Archives 29238 BrestFrance|Conference|04 - 05 Nov 2021 | University of Western Brittany, Brest,  France| Check Official Website| 100 - 500 Delegates | Environment & Waste|Annual|James Cook University|['Nov 2021', '+1 more edition']| 09:00 AM-06:00 PM |International Conference Indigenous Environmental Practices as Responses to Pollution aims on the one hand to determine the ways in which indigenous societies perceive and interact with pollution and toxic substances that affect their territories and places of life. It is also a question of examining how reflections on waste and its recycling inform discourse on indigenous sovereignty, and how the notion of sovereignty as it is understood, lived and defined by the indigenous people nourishes and influences artistic practices that respond to contemporary environmental challenges.
Global Spine Congress||https://10times.com/e1s1-7k50-fhzx|Global Spine Congress|Paris Marriott Rive Gauche Hotel & Conference Center|Paris Marriott Rive Gauche Hotel & Conference Center17 Boulevard Saint-Jacques, 75014 ParisFrance|Conference|03 - 06 Nov 2021 | Paris Marriott Rive Gauche Hotel & Conference Center, Paris, France| Check Official Website| 100 - 500 Delegates | Medical & Pharma|Bi-annual|AO Spine International|['Nov 2021', '+1 more edition']| 09:00 AM-06:00 PM |We are thrilled to announce an all new hybrid edition of GSC 2021! In addition to our in-person congress, it will feature an online component. AO Spine's annual meeting, the Global Spine Congress (GSC) is the leading world class spine congress gathering thousands of spine surgeons worldwide.
Dijon International & Gastronomic Fair||https://10times.com/dijon-international-gastronomic|Dijon International & Gastronomic Fair|Exhibition Center and Congress Dijon|Exhibition Center and Congress Dijon3 Boulevard de Champagne 21000 DijonFrance|Trade Show|30 Oct - 11 Nov 2021| Exhibition Center and Congress Dijon, Dijon,  France| Check Official Website| 200000 Visitors 550 Exhibitors | Food & Beverages|Annual|Dijon Congrexpo|['Oct 2021', '', '+8 more editions']| 09:00 AM-06:00 PM |"""International Household Consumables & Home Supplies Industry trade fair.""Dijon International & Gastronomic Fair offers a wide choice for the professional and amateur cook alike. The event features cookery demonstrations, competitions amongst the chefs and conferences on wine."
